league,league_id,provider,opta_name,provider_name
English Premier League,4328,api_football,Brighton & Hove Albion,Brighton
English Premier League,4328,api_football,Newcastle United,Newcastle
English Premier League,4328,api_football,Leeds United,Leeds
English Premier League,4328,api_football,Tottenham Hotspur,Tottenham
English Premier League,4328,api_football,Coventry City,Coventry
English Premier League,4328,api_football,Ipswich Town,Ipswich
Italian Serie A,4332,api_football,Internazionale,Inter
Italian Serie A,4332,api_football,Roma,AS Roma
Italian Serie A,4332,api_football,Milan,AC Milan
Spanish La Liga,4335,api_football,Atlético de Madrid,Atletico Madrid
Spanish La Liga,4335,api_football,Celta de Vigo,Celta Vigo
Spanish La Liga,4335,api_football,Athletic Club,Athletic Bilbao
Spanish La Liga,4335,api_football,Alavés,Alaves
Spanish La Liga,4335,api_football,Málaga,Malaga
Spanish La Liga,4335,api_football,Espanyol,RCD Espanyol
Spanish La Liga,4335,api_football,Racing de Santander,Racing Santander
Spanish La Liga,4335,api_football,Deportivo de A Coruña,Deportivo La Coruna
German Bundesliga,4331,api_football,Bayern München,Bayern Munich
German Bundesliga,4331,api_football,Stuttgart,VfB Stuttgart
German Bundesliga,4331,api_football,Hoffenheim,1899 Hoffenheim
German Bundesliga,4331,api_football,Freiburg,SC Freiburg
German Bundesliga,4331,api_football,Mainz 05,FSV Mainz 05
German Bundesliga,4331,api_football,Augsburg,FC Augsburg
German Bundesliga,4331,api_football,Borussia M'Gladbach,Borussia Mönchengladbach
German Bundesliga,4331,api_football,Hamburger SV,Hamburg
German Bundesliga,4331,api_football,Elversberg,SV Elversberg
German Bundesliga,4331,api_football,Paderborn,SC Paderborn 07
German Bundesliga,4331,api_football,Köln,1. FC Köln
German Bundesliga,4331,api_football,Schalke 04,FC Schalke 04
French Ligue 1,4334,api_football,Paris Saint-Germain,Paris Saint Germain
French Ligue 1,4334,api_football,Lens,RC Lens
French Ligue 1,4334,api_football,Lille,Lille OSC
French Ligue 1,4334,api_football,Olympique Lyonnais,Lyon
French Ligue 1,4334,api_football,Monaco,AS Monaco
French Ligue 1,4334,api_football,Olympique Marseille,Marseille
French Ligue 1,4334,api_football,Rennes,Stade Rennais
French Ligue 1,4334,api_football,Strasbourg,RC Strasbourg
French Ligue 1,4334,api_football,Lorient,FC Lorient
French Ligue 1,4334,api_football,Auxerre,AJ Auxerre
French Ligue 1,4334,api_football,Brest,Stade Brestois 29
French Ligue 1,4334,api_football,Nice,OGC Nice
French Ligue 1,4334,api_football,Troyes,Estac Troyes
French Ligue 1,4334,api_football,Angers SCO,Angers
Albanian Superliga,4617,api_football,Egnatia Rrogozhinë,Egnatia
Albanian Superliga,4617,api_football,Dinamo City,Dinamo Tirana
Albanian Superliga,4617,api_football,AF Elbasani,Elbasani
Albanian Superliga,4617,api_football,Vllaznia Shkodër,Vllaznia Shkoder
Albanian Superliga,4617,api_football,Tirana,FK Tirana
Albanian Superliga,4617,api_football,Vora,FK Vora
Albanian Superliga,4617,api_football,Partizani Tirana,Partizani
Albanian Superliga,4617,api_football,Laçi,Laci
Albanian Superliga,4617,api_football,Skënderbeu Korçë,Skenderbeu Korce
Albanian Superliga,4617,api_football,Teuta Durrës,Teuta Durres
Andorran 1a Divisió,4618,api_football,Inter Club d'Escaldes,Inter Escaldes
Andorran 1a Divisió,4618,api_football,Atlètic Club d'Escaldes,Atlètic d'Escaldes
Andorran 1a Divisió,4618,api_football,Ranger's,FC Rànger's
Andorran 1a Divisió,4618,api_football,Penya Encarnada,Penya Encarnada d'Andorra
Andorran 1a Divisió,4618,api_football,Ordino,FC Ordino
Andorran 1a Divisió,4618,api_football,Pas de la Casa,FC Pas de la Casa
Andorran 1a Divisió,4618,api_football,Carroi,FC Carroi
Andorran 1a Divisió,4618,api_football,Esperança d'Andorra,FC Esperanca
Armenian Premier League,4619,api_football,Noah,FC Noah
Armenian Premier League,4619,api_football,Ararat-Armenia,FC Ararat-Armenia
