date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10,pos_11,pos_12,pos_13,pos_14,pos_15,pos_16
2026-08-09,Bodo/Glimt,0.5669,0.397,0.0353,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,Viking,0.4171,0.5118,0.068,0.0027,0.0003,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,Tromso,0.0157,0.0876,0.7107,0.1185,0.0404,0.0162,0.0062,0.0034,0.001,0.0003,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,Lillestrom,0.0,0.0012,0.0555,0.2208,0.1923,0.1461,0.1253,0.09,0.0724,0.0465,0.0261,0.014,0.0076,0.0018,0.0004,0.0
2026-08-09,Molde,0.0003,0.0007,0.0453,0.1796,0.1775,0.1671,0.1321,0.1069,0.0757,0.0497,0.0343,0.0178,0.009,0.0031,0.0008,0.0001
2026-08-09,Brann,0.0,0.0008,0.0348,0.1803,0.1768,0.1614,0.1337,0.1062,0.0808,0.0531,0.0351,0.0201,0.0109,0.0043,0.0016,0.0001
2026-08-09,Sarpsborg 08 FF,0.0,0.0004,0.0255,0.1235,0.1421,0.1457,0.1455,0.1338,0.0947,0.077,0.0514,0.0311,0.0171,0.0089,0.0028,0.0005
2026-08-09,Ham-Kam,0.0,0.0001,0.0055,0.0446,0.0659,0.089,0.1104,0.1303,0.1415,0.1365,0.1107,0.075,0.0483,0.0295,0.0106,0.0021
2026-08-09,Rosenborg,0.0,0.0003,0.0146,0.0871,0.1217,0.1376,0.1386,0.1375,0.11,0.0924,0.0679,0.0468,0.0258,0.0139,0.0051,0.0007
2026-08-09,Valerenga,0.0,0.0001,0.0021,0.0162,0.0284,0.0486,0.0704,0.0927,0.1237,0.1434,0.1397,0.1262,0.0973,0.0685,0.0321,0.0106
2026-08-09,Fredrikstad,0.0,0.0,0.002,0.0195,0.035,0.0523,0.0707,0.0913,0.1203,0.1446,0.1357,0.1238,0.1003,0.0633,0.0339,0.0073
2026-08-09,KFUM Oslo,0.0,0.0,0.0006,0.0045,0.0115,0.0208,0.0367,0.0527,0.0824,0.1073,0.1443,0.1585,0.1533,0.1183,0.0794,0.0297
2026-08-09,Sandefjord,0.0,0.0,0.0,0.0012,0.005,0.0092,0.0163,0.0258,0.0451,0.0691,0.1039,0.1468,0.1768,0.175,0.1432,0.0826
2026-08-09,Kristiansund BK,0.0,0.0,0.0,0.0003,0.0019,0.0039,0.0073,0.0156,0.0283,0.0409,0.076,0.1126,0.1569,0.2049,0.2182,0.1332
2026-08-09,Aalesund,0.0,0.0,0.0001,0.0004,0.0012,0.0018,0.0061,0.0123,0.0199,0.0322,0.0587,0.0963,0.1364,0.1945,0.2534,0.1867
2026-08-09,Start,0.0,0.0,0.0,0.0,0.0,0.0002,0.0007,0.0015,0.0042,0.007,0.0162,0.031,0.0603,0.114,0.2185,0.5464
