date,team,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,pos_7,pos_8,pos_9,pos_10
2026-08-09,Riga,0.5547,0.4446,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,Rīgas FS,0.4452,0.5539,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-09,Auda,0.0001,0.0015,0.9882,0.0095,0.0007,0.0,0.0,0.0,0.0,0.0
2026-08-09,BFC Daugavpils,0.0,0.0,0.0032,0.4843,0.4494,0.0575,0.0052,0.0004,0.0,0.0
2026-08-09,FK Liepaja,0.0,0.0,0.007,0.4905,0.4599,0.0376,0.0046,0.0004,0.0,0.0
2026-08-09,Super Nova,0.0,0.0,0.0,0.0144,0.0705,0.5563,0.2715,0.0709,0.0157,0.0007
2026-08-09,FS Jelgava,0.0,0.0,0.0,0.0012,0.0161,0.2752,0.4289,0.2009,0.0682,0.0095
2026-08-09,Grobiņa,0.0,0.0,0.0,0.0001,0.0029,0.0487,0.1748,0.4049,0.2934,0.0752
2026-08-09,Tukums,0.0,0.0,0.0,0.0,0.0005,0.0236,0.1022,0.2735,0.4661,0.1341
2026-08-09,Ogre United,0.0,0.0,0.0,0.0,0.0,0.0011,0.0128,0.049,0.1566,0.7805
2026-08-10,Riga,0.5563,0.4433,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10,Rīgas FS,0.4437,0.5554,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-10,Auda,0.0,0.0013,0.9891,0.009,0.0006,0.0,0.0,0.0,0.0,0.0
2026-08-10,BFC Daugavpils,0.0,0.0,0.0031,0.4869,0.4401,0.0656,0.0039,0.0004,0.0,0.0
2026-08-10,FK Liepaja,0.0,0.0,0.0065,0.4857,0.4585,0.0447,0.0042,0.0003,0.0001,0.0
2026-08-10,Super Nova,0.0,0.0,0.0,0.0167,0.0843,0.5418,0.2724,0.0706,0.0131,0.0011
2026-08-10,FS Jelgava,0.0,0.0,0.0,0.0011,0.0136,0.2775,0.4266,0.1968,0.0736,0.0108
2026-08-10,Grobiņa,0.0,0.0,0.0,0.0005,0.0021,0.0484,0.1805,0.4084,0.291,0.0691
2026-08-10,Tukums,0.0,0.0,0.0,0.0001,0.0007,0.0212,0.1019,0.2765,0.4625,0.1371
2026-08-10,Ogre United,0.0,0.0,0.0,0.0,0.0001,0.0008,0.0105,0.047,0.1597,0.7819
2026-08-11,Rīgas FS,0.483,0.5166,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,Riga,0.517,0.4824,0.0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-08-11,Auda,0.0,0.001,0.9918,0.0069,0.0003,0.0,0.0,0.0,0.0,0.0
2026-08-11,BFC Daugavpils,0.0,0.0,0.0027,0.49,0.4433,0.0588,0.005,0.0002,0.0,0.0
2026-08-11,FK Liepaja,0.0,0.0,0.0045,0.4843,0.4668,0.0408,0.0034,0.0002,0.0,0.0
2026-08-11,Super Nova,0.0,0.0,0.0,0.0172,0.075,0.5481,0.2804,0.0657,0.0127,0.0009
2026-08-11,FS Jelgava,0.0,0.0,0.0,0.0016,0.0136,0.2912,0.4416,0.176,0.0645,0.0115
2026-08-11,Grobiņa,0.0,0.0,0.0,0.0,0.0008,0.0381,0.1547,0.4045,0.3209,0.081
2026-08-11,Tukums,0.0,0.0,0.0,0.0,0.0002,0.0221,0.1017,0.297,0.4426,0.1364
2026-08-11,Ogre United,0.0,0.0,0.0,0.0,0.0,0.0009,0.0132,0.0564,0.1593,0.7702
