team,alias,opta_rating
Bayern München,Bayern Munich,98.9
Borussia Dortmund,,92.1
Bayer Leverkusen,,91.1
Stuttgart,VfB Stuttgart,89.5
RB Leipzig,,88.8
Hoffenheim,1899 Hoffenheim,86.6
Freiburg,SC Freiburg,88.1
Mainz 05,FSV Mainz 05,87.1
Eintracht Frankfurt,,84.3
Augsburg,FC Augsburg,85.4
Borussia M'Gladbach,Borussia Mönchengladbach,83.4
Union Berlin,,83.8
Hamburger SV,Hamburg,82.1
Werder Bremen,,83.3
Elversberg,SV Elversberg,83.8
Paderborn,SC Paderborn 07,82.6
Köln,1. FC Köln,82.9
Schalke 04,FC Schalke 04,82.4
