team,alias,opta_rating
France,,2070.0
Italy,,1869.0
Belgium,,1947.0
Türkiye,,1852.0
Germany,,1916.0
Netherlands,,1962.0
Serbia,,1709.0
Greece,,1769.0
Spain,,2259.0
Croatia,,1881.0
England,,2125.0
Czechia,,1680.0
Portugal,,1998.0
Denmark,,1859.0
Norway,,1962.0
Wales,,1679.0
Scotland,,1745.0
Switzerland,,1928.0
Slovenia,,1682.0
North Macedonia,,1589.0
Hungary,,1710.0
Ukraine,,1780.0
Georgia,,1654.0
Northern Ireland,,1605.0
Israel,,1637.0
Austria,,1831.0
Republic of Ireland,,1685.0
Kosovo,,1728.0
Poland,,1710.0
Bosnia and Herzegovina,,1605.0
Romania,,1639.0
Sweden,,1731.0
Montenegro,,1461.0
Cyprus,,1314.0
Latvia,,1288.0
Armenia,,1373.0
Iceland,,1568.0
Estonia,,1360.0
Luxembourg,,1450.0
Bulgaria,,1458.0
Faroe Islands,,1386.0
Kazakhstan,,1428.0
Moldova,,1270.0
Slovakia,,1667.0
Albania,,1616.0
Belarus,,1522.0
San Marino,,825.0
Finland,,1536.0
Azerbaijan,,1328.0
Lithuania,,1289.0
Liechtenstein,,885.0
Gibraltar,,1009.0
Malta,,1271.0
Andorra,,1064.0
